,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,61.2,63,40,23.02,PT,1650812012
1,saskylakh,71.9167,114.0833,-5.35,100,25,2.89,RU,1650812013
2,mataura,-46.1927,168.8643,52.48,87,100,6.22,NZ,1650812014
3,longyearbyen,78.2186,15.6401,9.84,77,30,5.32,SJ,1650812014
4,talnakh,69.4865,88.3972,-3.62,100,48,2.28,RU,1650812015
5,bredasdorp,-34.5322,20.0403,62.35,59,37,12.97,ZA,1650812015
6,cape town,-33.9258,18.4232,66.11,62,40,14.97,ZA,1650811901
7,rincon,32.296,-81.2354,76.95,47,9,3.42,US,1650812017
8,ciudad bolivar,8.1222,-63.5497,90.43,43,23,10.78,VE,1650812017
9,kapaa,22.0752,-159.319,74.12,82,90,5.99,US,1650812018
10,khatanga,71.9667,102.5,-3.26,100,100,3.18,RU,1650812020
11,puerto escondido,15.85,-97.0667,85.28,57,0,3.0,MX,1650812020
12,yulara,-25.2406,130.9889,64.24,72,100,14.97,AU,1650812021
13,high prairie,55.4334,-116.4858,43.07,68,82,7.78,CA,1650812022
14,rikitea,-23.1203,-134.9692,73.99,79,100,6.49,PF,1650812022
15,komsomolskiy,40.4272,71.7189,63.32,67,100,6.91,UZ,1650812023
16,kahului,20.8947,-156.47,74.84,79,40,18.41,US,1650812024
17,hermanus,-34.4187,19.2345,62.8,75,11,9.84,ZA,1650812024
18,dolores,-36.3132,-57.6792,74.28,36,0,14.54,AR,1650812025
19,beloha,-25.1667,45.05,78.06,66,86,4.7,MG,1650812025
20,mehriz,31.5917,54.4318,84.7,8,90,3.85,IR,1650812026
21,mar del plata,-38.0023,-57.5575,64.87,76,0,14.97,AR,1650812027
22,busselton,-33.65,115.3333,63.63,52,100,9.57,AU,1650811910
23,moroni,-11.7022,43.2551,80.62,81,87,1.5,KM,1650812029
24,povenets,62.8487,34.8262,35.91,83,100,3.27,RU,1650812029
25,vaini,-21.2,-175.2,69.96,94,75,1.14,TO,1650812030
26,isangel,-19.55,169.2667,77.63,75,92,11.03,VU,1650812030
27,hilo,19.7297,-155.09,74.28,97,100,1.99,US,1650812031
28,riyadh,24.6877,46.7219,86.14,12,92,12.1,SA,1650811962
29,georgetown,5.4112,100.3354,84.13,93,20,10.36,MY,1650811799
30,jamestown,42.097,-79.2353,78.03,40,0,6.91,US,1650812033
31,blackwater,-23.5833,148.8833,66.63,71,93,16.69,AU,1650812033
32,tasiilaq,65.6145,-37.6368,36.66,70,100,4.38,GL,1650812034
33,caravelas,-17.7125,-39.2481,88.47,56,18,8.93,BR,1650812035
34,mahibadhoo,3.7833,72.9667,85.1,68,53,7.14,MV,1650812037
35,butaritari,3.0707,172.7902,79.72,79,100,12.82,KI,1650812037
36,new norfolk,-42.7826,147.0587,54.91,82,56,1.25,AU,1650812038
37,miass,55.045,60.1083,47.61,51,100,4.7,RU,1650812038
38,vila franca do campo,37.7167,-25.4333,61.21,65,7,17.31,PT,1650812040
39,road town,18.4167,-64.6167,80.64,65,40,10.36,VG,1650812041
40,tiarei,-17.5333,-149.3333,75.22,78,63,7.81,PF,1650812041
41,esperance,-33.8667,121.9,57.04,83,1,10.63,AU,1650812042
42,ginir,7.1333,40.7,63.43,84,80,6.6,ET,1650812043
43,port alfred,-33.5906,26.891,62.19,82,98,5.01,ZA,1650812043
44,dikson,73.5069,80.5464,9.57,94,99,11.41,RU,1650812044
45,kangaatsiaq,68.3065,-53.4641,25.09,88,100,5.64,GL,1650812044
46,camacha,33.0833,-16.3333,65.62,60,40,16.11,PT,1650812045
47,punta arenas,-53.15,-70.9167,41.11,93,75,3.44,CL,1650812045
48,barrow,71.2906,-156.7887,11.43,94,100,8.14,US,1650812046
49,souillac,-20.5167,57.5167,75.58,78,75,18.41,MU,1650812047
50,sistranda,63.7256,8.834,57.16,80,100,17.05,NO,1650812047
51,zhezkazgan,47.8043,67.7144,48.18,93,100,15.66,KZ,1650812049
52,ushuaia,-54.8,-68.3,38.86,87,20,4.61,AR,1650812049
53,qaanaaq,77.484,-69.3632,5.16,71,18,8.25,GL,1650812050
54,callaway,30.153,-85.5699,77.0,73,85,5.99,US,1650812051
55,kaitangata,-46.2817,169.8464,51.89,81,100,13.6,NZ,1650812051
56,campoverde,-8.4753,-74.8058,83.89,71,99,1.34,PE,1650812052
57,bambous virieux,-20.3428,57.7575,76.21,78,75,18.41,MU,1650812052
58,fare,-16.7,-151.0167,80.4,72,76,7.52,PF,1650812053
59,kavieng,-2.5744,150.7967,81.75,77,47,8.61,PG,1650812053
60,hualmay,-11.0964,-77.6139,70.74,76,80,9.15,PE,1650812054
61,bethel,41.3712,-73.414,63.03,43,79,1.99,US,1650812055
62,saldanha,-33.0117,17.9442,66.25,75,0,14.76,ZA,1650812055
63,puerto ayora,-0.7393,-90.3518,71.56,80,39,8.1,EC,1650812056
64,thompson,55.7435,-97.8558,12.36,73,100,19.57,CA,1650812056
65,coquimbo,-29.9533,-71.3436,56.93,88,100,2.3,CL,1650812057
66,boyolangu,-8.1181,111.8935,77.07,92,100,0.72,ID,1650812058
67,chokurdakh,70.6333,147.9167,-14.28,100,79,3.11,RU,1650812058
68,tuatapere,-46.1333,167.6833,51.48,89,99,6.42,NZ,1650812059
69,rani,25.3503,73.3089,91.24,8,2,14.94,IN,1650812059
70,lazaro cardenas,17.9583,-102.2,79.72,63,26,0.67,MX,1650812060
71,pochutla,15.7432,-96.4661,85.82,50,0,3.8,MX,1650812061
72,rassvet,46.8333,40.75,67.48,64,100,3.58,RU,1650812061
73,lae,-6.7221,146.9847,74.44,89,83,4.99,PG,1650812062
74,saint-philippe,-21.3585,55.7679,76.59,80,98,15.75,RE,1650812063
75,huarmey,-10.0681,-78.1522,71.8,77,36,8.55,PE,1650812063
76,olhao,37.0286,-7.8411,63.28,72,75,8.05,PT,1650812064
77,hithadhoo,-0.6,73.0833,84.29,72,91,9.1,MV,1650812064
78,leh,34.1667,77.5833,43.77,27,6,5.48,IN,1650812065
79,nikolskoye,59.7035,30.7861,48.09,74,100,9.55,RU,1650812066
80,aswan,24.0934,32.907,83.5,15,0,5.75,EG,1650811894
81,airai,-8.9266,125.4092,58.66,71,50,1.99,TL,1650812067
82,korla,41.7597,86.1469,72.45,24,56,8.23,CN,1650812067
83,san juan del sur,11.2529,-85.8705,84.42,70,75,4.61,NI,1650812068
84,mayumba,-3.432,10.6554,81.01,80,100,6.15,GA,1650812069
85,hobart,-42.8794,147.3294,55.26,88,86,6.91,AU,1650811934
86,ilebo,-4.3167,20.5833,82.83,68,98,1.92,CD,1650812070
87,tzucacab,20.0667,-89.05,85.48,56,36,6.31,MX,1650812070
88,karratha,-20.7377,116.8463,80.85,62,0,3.53,AU,1650812071
89,lewistown,40.5992,-77.5714,72.36,80,0,0.0,US,1650812073
90,baherden,38.4362,57.4316,77.67,37,28,6.76,TM,1650812073
91,kodiak,57.79,-152.4072,39.63,91,99,7.56,US,1650812074
