Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
21,bilibino,68.0546,166.4372,22.42,75,100,4.32,RU,1650850284
54,kungurtug,50.5994,97.5228,21.11,47,76,7.09,RU,1650850309
92,ilulissat,69.2167,-51.1,26.62,93,100,4.61,GL,1650850337
143,cherskiy,68.75,161.3,25.29,76,100,7.74,RU,1650850220
165,maniitsoq,65.4167,-52.9,26.29,89,100,6.55,GL,1650850390
178,flin flon,54.7682,-101.865,25.21,62,26,10.2,CA,1650850399
209,tuktoyaktuk,69.4541,-133.0374,26.6,80,0,5.75,CA,1650850424
216,keuruu,62.2667,24.7,26.78,93,12,2.62,FI,1650850429
335,pangnirtung,66.1451,-65.7125,21.33,92,100,5.5,CA,1650850530
388,sisimiut,66.9395,-53.6735,23.77,92,72,1.14,GL,1650850572
508,inta,66.0317,60.1659,23.68,95,89,7.23,RU,1650850671
521,severo-yeniseyskiy,60.3725,93.0408,24.67,82,100,8.39,RU,1650850682
